web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1627550718-515","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Nobody Like You","https://archiveofourown.org/works/32179009","adoringjenchulichaeng","General Audiences","F/F","2021-06-25","677"
"1627548295-299","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","sleepover","https://archiveofourown.org/works/26208823","rosiiecore","Explicit","F/F","2020-09-01","8257"
"1627546600-147","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","Sleepless in high school","https://archiveofourown.org/works/18147083","rudesunyoung","Mature","F/F","2019-03-17","7658"
"1627546675-154","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","Grey Areas, White Collars","https://archiveofourown.org/works/15564789","s_s_rr_s","Teen And Up Audiences","Multi","2018-08-04","3613"
"1627549704-424","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Losing You Only To Find You","https://archiveofourown.org/works/30258777","ash_er_maine","Teen And Up Audiences","F/F","2021-03-25","357"
"1627550066-457","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","love lies","https://archiveofourown.org/works/30631115","Boboprooo","Teen And Up Audiences","F/F","2021-04-12","262"
"1627545706-67","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","Somehow, we're happy","https://archiveofourown.org/works/15867825","rudesunyoung","Teen And Up Audiences","F/F","2018-09-02","3625"
"1627547388-218","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","I always care about you","https://archiveofourown.org/works/22473937","rudesunyoung","Teen And Up Audiences","F/F","2020-01-30","2022"
"1627549393-397","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","going once, going twice","https://archiveofourown.org/works/29278263","snowandwolves","Mature","F/F","2021-02-08","2704"
"1627545313-32","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","First Winter at Fire Lodge","https://archiveofourown.org/works/13229370","BritHistorian","Not Rated","F/F","2018-01-01","3628"
"1627547145-196","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","Of Pauses and Interludes","https://archiveofourown.org/works/21393736","pinkbyproxy","Mature","F/F","2019-11-11","2213"
"1627547923-265","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","What's Ours is Yours, and you know it","https://archiveofourown.org/works/24143497","orphan_account","Teen And Up Audiences","F/F","2020-05-12","90"
"1627549202-380","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Snapshots of her Life","https://archiveofourown.org/works/24877636","OnceBlinkInsomniac","Not Rated","F/F","2020-06-23","2563"
"1627548923-355","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","Sometimes I Think it's Just for You that I Live and Breathe In","https://archiveofourown.org/works/28076505","Heyrrra","General Audiences","F/F","2020-12-14","599"
"1627547123-194","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","Ten Little Ways Lisa Say's ""I Love You""","https://archiveofourown.org/works/21304613","Heyrrra","General Audiences","F/F","2019-11-04","1759"
"1627549019-363","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","i wonder what it would be like to love you.","https://archiveofourown.org/works/28350195","icursedthisworld","Teen And Up Audiences","F/F","2020-12-27","2744"
